model,accuracy,precision,recall,f1
LogisticRegression,0.6831358371828345,0.6824157584100489,0.6831358371828345,0.6791261021054625
RandomForest,0.5671821650933923,0.6004636282989596,0.5671821650933923,0.5752575978008593
LinearSVM,0.6981991028988418,0.6989675780860324,0.6981991028988418,0.6980225861094824
